,name,月齢,頭囲
139,女子 (10 %ile),2.5,372.0
140,女子 (10 %ile),3.5,384.0
141,女子 (10 %ile),4.5,393.0
142,女子 (10 %ile),5.5,401.0
143,女子 (10 %ile),6.5,408.0
144,女子 (10 %ile),7.5,415.0
145,女子 (10 %ile),8.5,420.0
146,女子 (10 %ile),9.5,424.0
147,女子 (10 %ile),10.5,428.0
148,女子 (10 %ile),11.5,431.0
149,女子 (10 %ile),15.0,439.0
150,女子 (10 %ile),21.0,452.0
151,女子 (10 %ile),27.0,461.0
152,女子 (10 %ile),33.0,469.0
153,女子 (25 %ile),0.0,325.0
154,女子 (25 %ile),1.0,353.0
155,女子 (25 %ile),1.5,364.0
156,女子 (25 %ile),2.5,380.0
157,女子 (25 %ile),3.5,391.0
158,女子 (25 %ile),4.5,401.0
159,女子 (25 %ile),5.5,409.0
160,女子 (25 %ile),6.5,416.0
161,女子 (25 %ile),7.5,423.0
162,女子 (25 %ile),8.5,428.0
163,女子 (25 %ile),9.5,433.0
164,女子 (25 %ile),10.5,436.0
165,女子 (25 %ile),11.5,439.0
166,女子 (25 %ile),15.0,448.0
167,女子 (25 %ile),21.0,460.0
168,女子 (25 %ile),27.0,470.0
169,女子 (25 %ile),33.0,478.0
170,女子 (50 %ile),0.0,333.0
171,女子 (50 %ile),1.0,361.0
172,女子 (50 %ile),1.5,372.0
173,女子 (50 %ile),2.5,388.0
174,女子 (50 %ile),3.5,400.0
175,女子 (50 %ile),4.5,409.0
176,女子 (50 %ile),5.5,417.0
177,女子 (50 %ile),6.5,425.0
178,女子 (50 %ile),7.5,432.0
179,女子 (50 %ile),8.5,437.0
180,女子 (50 %ile),9.5,442.0
181,女子 (50 %ile),10.5,445.0
182,女子 (50 %ile),11.5,448.0
183,女子 (50 %ile),15.0,457.0
184,女子 (50 %ile),21.0,469.0
185,女子 (50 %ile),27.0,479.0
186,女子 (50 %ile),33.0,487.0
187,女子 (75 %ile),0.0,341.0
188,女子 (75 %ile),1.0,369.0
189,女子 (75 %ile),1.5,380.0
190,女子 (75 %ile),2.5,396.0
191,女子 (75 %ile),3.5,408.0
192,女子 (75 %ile),4.5,417.0
193,女子 (75 %ile),5.5,426.0
194,女子 (75 %ile),6.5,434.0
195,女子 (75 %ile),7.5,440.0
196,女子 (75 %ile),8.5,446.0
197,女子 (75 %ile),9.5,450.0
198,女子 (75 %ile),10.5,454.0
199,女子 (75 %ile),11.5,457.0
200,女子 (75 %ile),15.0,465.0
201,女子 (75 %ile),21.0,478.0
202,女子 (75 %ile),27.0,488.0
203,女子 (75 %ile),33.0,496.0
204,女子 (90 %ile),0.0,348.0
205,女子 (90 %ile),1.0,375.0
206,女子 (90 %ile),1.5,387.0
207,女子 (90 %ile),2.5,403.0
208,女子 (90 %ile),3.5,415.0
209,女子 (90 %ile),4.5,424.0
210,女子 (90 %ile),5.5,433.0
211,女子 (90 %ile),6.5,441.0
212,女子 (90 %ile),7.5,448.0
213,女子 (90 %ile),8.5,453.0
214,女子 (90 %ile),9.5,458.0
215,女子 (90 %ile),10.5,462.0
216,女子 (90 %ile),11.5,465.0
217,女子 (90 %ile),15.0,473.0
218,女子 (90 %ile),21.0,486.0
219,女子 (90 %ile),27.0,496.0
220,女子 (90 %ile),33.0,504.0
221,女子 (97 %ile),0.0,355.0
222,女子 (97 %ile),1.0,382.0
223,女子 (97 %ile),1.5,393.0
224,女子 (97 %ile),2.5,410.0
225,女子 (97 %ile),3.5,422.0
226,女子 (97 %ile),4.5,431.0
227,女子 (97 %ile),5.5,440.0
228,女子 (97 %ile),6.5,448.0
229,女子 (97 %ile),7.5,455.0
230,女子 (97 %ile),8.5,461.0
231,女子 (97 %ile),9.5,465.0
232,女子 (97 %ile),10.5,469.0
233,女子 (97 %ile),11.5,472.0
234,女子 (97 %ile),15.0,481.0
235,女子 (97 %ile),21.0,494.0
236,女子 (97 %ile),27.0,504.0
237,女子 (97 %ile),33.0,512.0
